溶解氧,水温,pH,电导率,浊度,高锰酸盐指数,氨氮,总氮
7.49,13.3,7.83,329.8,4.6,0.19,0.255,4.29
7.33,13.2,7.82,332.1,4.3,1.52,0.235,4.29
7.01,13.1,7.8,331.9,5,4.15,0.238,4.3
7.17,13.2,7.8,329.6,4.6,1.57,0.245,4.27
8.1,14,7.84,328.4,3.8,3.7,0.232,4.25
7.48,13.7,7.83,333.7,6.1,8.22,0.235,4.35
7.85,13.5,7.85,293.5,10.6,0.15,0.558,3.95
7.62,13.4,7.83,283.6,10.7,0.54,0.506,3.67
7.26,13.4,7.8,283.6,8.2,0.16,0.43,3.58
7.43,13.5,7.8,287.4,6.6,0.05,0.366,3.58
7.47,13.6,7.81,295.3,6.1,0.12,0.318,3.66
7.12,13.5,7.79,304,5.5,0.19,0.288,3.77
6.77,13.5,7.78,316.1,5.3,0.06,0.259,3.94
6.49,13.4,7.76,326.5,5.1,0.17,0.246,4.13
6.24,13.4,7.74,330.5,6.4,0.04,0.242,4.18
6.49,13.4,7.76,344.5,7,2.7486206,0.244,4.078809524
6.82,13.5,7.78,341.4,7.5,5.57,0.245,3.93
6.42,13.4,7.76,339.8,6.6,5.7,0.246,3.85
6.22,13.2,7.75,342.5,5.9,5.91,0.238,3.87
6.15,13.2,7.75,347.2,5.6,5.44,0.231,3.93
6.05,13,7.75,355.3,5.8,6.07,0.231,4.04
6.52,13.2,7.76,359.4,5.1,6.1,0.234,4.1
7.01,13.4,7.8,359.3,10.4,6.05,0.232,4.2
6.48,13.3,7.77,360.2,7.1,6.07,0.234,4.16
6.28,13.2,7.76,361,6.1,6.14,0.228,4.15
6.23,13,7.75,363.8,5.9,6.02,0.215,4.17
6.16,12.9,7.75,366.3,5.8,6.01,0.21,4.18
7.09,13.5,7.79,365.8,4.4,6.12,0.199,4.14
7.84,14.6,7.81,362.1,4.8,6.26,0.224,4.1
7.4,14.5,7.8,360.7,4.8,6.42,0.222,4.08
6.75,14.2,7.75,360.9,4.6,6.16,0.211,4.04
6.4,14,7.73,358.9,5.1,6.5,0.209,4.02
6.2,14.1,7.72,358.1,6,6.32,0.214,4.02
7.42,15.5,7.76,358.1,5.3,6.39,0.199,3.96
7.6,16.4,7.78,357.9,6.6,6.43,0.202,3.96
7.084534105,16.25,7.760487805,358.2993243,5.95,5.552378641,0.202732759,3.965
6.39,16.1,7.73,359.1,5.3,4.64,0.203,3.97
6.12,16.3,7.71,360.2,5.5,4.6,0.191,3.97
6.06,16.4,7.7,360.1,6.1,4.72,0.19,3.97
7.19,17.7,7.75,359.6,5.9,4.77,0.178,3.97
7.85,18.7,7.81,361.9,5.4,4.67,0.182,3.96
7.01,17.5,7.8,365.1,5.8,4.65,0.177,4.01
6.74,16.4,7.78,366,6.2,4.99,0.191,4.07
6.57,15.9,7.78,366.8,6.3,5.03,0.204,4.08
6.5,15.5,7.78,368.7,7.1,4.97,0.219,4.15
7.23,15.6,7.82,371.3,6,5.03,0.248,4.21
7.86,16.3,7.86,372.3,7.5,5.06,0.259,4.27
6.79,16,7.79,374.9,5,5.02,0.276,4.28
6.32,15.8,7.77,376.1,4.2,5.23,0.271,4.36
6.14,15.5,7.76,378.8,4.2,5.27,0.263,4.35
6.04,15.3,7.75,380.5,4.6,5.11,0.255,4.42
6.61,15.4,7.79,381.7,5.2,5.11,0.239,4.5
6.96,15.3,7.81,383,5.2,5.22,0.224,4.49
6.69,14.7,7.81,389.4,4.5,5,0.225,4.6
6.45,14.4,7.79,400.4,4,5.18,0.301,4.88
6.48,13.9,7.8,406.8,3.8,5.29,0.327,5.03
6.24,13.8,7.78,407.2,4,5.17,0.342,5.06
6.52,13.6,7.79,404.4,4.2,5.05,0.318,4.96
6.92,13.5,7.82,398.5,3.8,4.951671872,0.274,4.77
6.76,13.1,7.82,394.9,3.8,4.85206306,0.237,4.73
6.78,12.6,7.83,392.6,4.2,4.751659404,0.208,4.55
6.86,12.4,7.83,390.8,4.2,4.650946747,0.197,4.48
6.83,12,7.84,390.7,4.4,4.550410931,0.185,4.41
7.43,12,7.86,387.5,4.920580994,4.450537798,0.17,4.37
8.24,12.5,7.91,383.3,6.1,4.351813189,0.16,4.26
7.73,12,7.9,379.8,12,4.254722947,0.158,4.15
7.56,11.4,7.88,376.6,5.3,4.159752914,0.162,4.1
7.61,11.2,7.87,374.5,4.3,4.067388932,0.168,4.04
7.66,10.7,7.88,373.6,3.9,3.978116842,0.177,4.01
8.78,11.7,7.93,372.2,3.4,3.892422487,0.177,3.98
9.42,12.9,7.99,371.1,3.7,3.810791708,0.172,3.92
8.68,12.1,7.95,370.7,4,3.733710348,0.185,3.92
8.49,11.8,7.94,368.5,4,3.661664248,0.192,3.87
8.38,11.3,7.93,365.3,3.9,3.595139251,0.199,3.81
8.21,11.1,7.91,364.3,4,3.534621199,0.195,3.81
9.15,11.8,7.97,360.8,3.8,3.480595933,0.186,3.77
9.41,12.1,7.99,360.9,4.1,3.433549295,0.183,3.77
8.91,11.8,7.96,365.2,4.4,3.393967127,0.167,3.77
8.62,11.4,7.93,358.3,4.5,3.362335272,0.207,3.76
8.5,11.2,7.92,355.6,4.6,3.339139571,0.23,3.74
8.32,11,7.91,355.1,4.6,3.324865866,0.224,3.7
8.95,10.9,7.95,354.9,4.5,3.32,0.219,3.72
8.99,11,7.96,356.3,4.5,4.23,0.245,3.76
8.51,10.8,7.92,359.2,4.8,4.22,0.256,3.87
8.39,10.7,7.91,364.6,4.7,4.08,0.272,4.03
8.19,10.6,7.9,368.3,4.5,4.13,0.27,4.09
8.01,10.5,7.88,372.6,5.3,4.75,0.269,4.2
8.16,10.6,7.88,371.1,6.2,4.77,0.269,4.28
8.31,10.5,7.89,371.5,6.6,4.7,0.277,4.28
8.1,10.3,7.87,371.6,5,4.68,0.289,4.31
8.02,10.1,7.86,371.7,4.2,4.51,0.312,4.36
7.81,10,7.84,369.2,4.5,4.47,0.331,4.41
7.74,9.9,7.84,369.5,6.2,4.11,0.336,4.46
8.44,10.1,7.86,370,6.5,4.52,0.333,4.53
8.63,10,7.88,378.9,6.5,4.49,0.337,4.72
8.31,9.8,7.86,374.5,4.7,4.42,0.336,4.66
8.1,9.7,7.83,370.2,4.7,4.22,0.321,4.6
8.1,9.5,7.83,370.3,5.7,4.44,0.314,4.62
8.19,9.3,7.83,369.2,8.2,4.36,0.323,4.75
9.16,9.6,7.88,367,6.8,4.81,0.343,4.74
9.64,10,7.93,367.5,5.9,5.32,0.366,4.75
9.01,9.7,7.89,371.3,5,5.21,0.379,4.85
